name,address_line_1,address_line_2,city,state_or_region,postal_code,country_code,latitude,longitude
,5383 Walnut Ave,# 619,Champaign,IL,61820,US,40.114053,-88.232265
,9667 Hickory Dr,Apt 108,Springfield,IL,62701,US,39.787464,-89.637108
Westside Commons,4720 Grant Ave,Apt 381,Chicago,IL,60614,US,41.869766,-87.622096
,3885 Creek Dr,# 201,Arlington Heights,IL,60004,US,42.085452,-87.986432
,8963 Commerce Ct,,Oak Park,IL,60301,US,41.894223,-87.783573
,3216 State St,,Naperville,IL,60540,US,41.760946,-88.146121
,7025 Grant St,,Chicago,IL,60640,US,41.869033,-87.617689
,2825 River Cir,Ste 234,Alsip,IL,60803,US,41.685721,-87.720182
,2681 Eisenhower Ter,Unit 531,Oak Park,IL,60302,US,41.900238,-87.798022
Maple Court,3104 Spring St,Apt 84,Blue Island,IL,60406,US,41.661331,-87.679343
Lincoln Square,1327 Ivy St,Ste 119,Chicago,IL,60622,US,41.886005,-87.649460
,2131 Market Pl,,Berwyn,IL,60402,US,41.848096,-87.811601
,781 Cross Dr,Unit 944,Bloomington,IL,61701,US,40.497323,-89.004598
,2587 Lincoln Pl,,Downers Grove,IL,60515,US,41.803562,-87.992246
,1727 Division Way,Ste 233,Orland Park,IL,60462,US,41.637425,-87.849492
Bucktown Row,3768 Sherman Ave,,Chicago,IL,60618,US,41.862846,-87.629811
,8944 Spring Ct,,Waukegan,IL,60085,US,42.366462,-87.827645
Sunrise Village,4370 Market Pl,,Naperville,IL,60540,US,41.736595,-88.167360
,312 Market Rd,Apt 837,Waukegan,IL,60085,US,42.376258,-87.826091
Lincoln Square,9255 Main Dr,,Mount Prospect,IL,60056,US,42.077083,-87.952545
,702 Sixth Pl,,Chicago,IL,60618,US,41.867055,-87.618369
,2812 Sixth St,,Oak Park,IL,60302,US,41.899778,-87.769554
Lakefront Towers,5323 College Dr,,Orland Park,IL,60462,US,41.644899,-87.870044
,5786 River St,,Schaumburg,IL,60193,US,42.040588,-88.066180
,2056 Eisenhower St,Apt 768,Peoria,IL,61602,US,40.698468,-89.585957
,6145 Broad St,# 994,Mount Prospect,IL,60056,US,42.082031,-87.926823
,9732 Eighth Dr,,Mount Prospect,IL,60056,US,42.076676,-87.939484
,2203 East Ave,,Chicago,IL,60640,US,41.889439,-87.640273
,3768 Walnut Ter,,Bloomington,IL,61701,US,40.484187,-88.989875
,7171 Central St,,Rockford,IL,61101,US,42.260725,-89.107769
,123 Creek Pl,,Chicago,IL,60630,US,41.875047,-87.644243
,6906 Lake Dr,Apt 151,Chicago,IL,60601,US,41.889842,-87.622394
,2359 Oak Way,,Chicago,IL,60613,US,41.867172,-87.640587
,2801 Union Ave,# 680,Orland Park,IL,60462,US,41.614257,-87.841089
,1666 Laurel Ave,,Springfield,IL,62701,US,39.800911,-89.654217
Oak Terrace,9696 Division Way,,Orland Park,IL,60462,US,41.627956,-87.868761
,1294 Laurel St,Unit 266,Elgin,IL,60123,US,42.019611,-88.268959
Bucktown Row,6813 Chestnut Ct,,Chicago,IL,60641,US,41.868428,-87.631857
,1024 Lee Ln,,Dolton,IL,60419,US,41.640408,-87.604619
,2138 Park Pl,,Waukegan,IL,60085,US,42.372421,-87.852975
,2698 Jefferson Ave,,Evanston,IL,60202,US,42.034370,-87.669269
,2530 Central Blvd,,Schaumburg,IL,60193,US,42.043926,-88.101407
,5435 Spring Rd,,Palatine,IL,60067,US,42.124819,-88.046645
,9787 Ash Ave,,Waukegan,IL,60087,US,42.355889,-87.851654
,8176 Forest Pl,,Springfield,IL,62701,US,39.798549,-89.638019
,8194 Harvest Dr,Ste 496,Chicago,IL,60601,US,41.876598,-87.647823
Navy Pier Place,4517 Brook Blvd,Apt 138,Chicago,IL,60651,US,41.889475,-87.632329
,3525 Eighth St,Unit 816,Oak Park,IL,60302,US,41.900749,-87.802864
,4953 Fourth St,,Chicago,IL,60618,US,41.885833,-87.646141
,6062 Field Rd,,Palatine,IL,60067,US,42.119732,-88.042918
,2190 Glen Pl,,Tinley Park,IL,60477,US,41.563455,-87.771605
,2780 Fifth Ave,Apt 215,Wheaton,IL,60187,US,41.873757,-88.124861
,9157 Church Ave,Unit 784,Palatine,IL,60067,US,42.123147,-88.046808
Northgate Apartments,189 Chestnut Ave,,Wheaton,IL,60187,US,41.855435,-88.097818
,9557 Ferry Dr,Unit 601,Oak Park,IL,60302,US,41.872092,-87.788963
,8370 Crest Ln,Unit 408,Chicago,IL,60622,US,41.897364,-87.619417
Northgate Apartments,8749 Creek Ave,,Chicago,IL,60625,US,41.875808,-87.629244
,6530 Wilson Rd,,Chicago,IL,60647,US,41.886709,-87.641954
,8256 Poplar Pl,,Chicago,IL,60622,US,41.860576,-87.629413
,1012 North Pl,Ste 269,Rockford,IL,61101,US,42.277543,-89.074261
,2359 Magnolia St,Ste 548,Chicago,IL,60651,US,41.867479,-87.634433
,3412 South Blvd,Apt 18,Alsip,IL,60803,US,41.682431,-87.728634
,7545 Orchard St,,Arlington Heights,IL,60004,US,42.079256,-87.963439
,7372 Hillside St,,Palatine,IL,60067,US,42.128319,-88.027508
,2427 Washington Dr,,Des Plaines,IL,60016,US,42.039320,-87.863428
,8162 Eisenhower Rd,# 858,Lansing,IL,60438,US,41.558330,-87.549841
The Pinnacle,7998 College St,,Decatur,IL,62523,US,39.851042,-88.952863
,2541 Ash Rd,Ste 544,Chicago,IL,60618,US,41.861696,-87.646698
,4850 Cedar Ln,# 747,Peoria,IL,61602,US,40.701944,-89.574158
,2461 Ivy St,,Schaumburg,IL,60193,US,42.039164,-88.072605
Riverside Plaza,2686 State St,,Joliet,IL,60432,US,41.523012,-88.071404
Westside Commons,5113 Sherman Cir,,Waukegan,IL,60085,US,42.348683,-87.859029
Logan Square Lofts,9427 Roosevelt St,,Schaumburg,IL,60193,US,42.028469,-88.082942
,3569 Sherman Ave,,Naperville,IL,60540,US,41.741704,-88.164696
Navy Pier Place,5584 Prairie Ct,Apt 442,Wheaton,IL,60187,US,41.847513,-88.125832
,1162 First Ter,,Springfield,IL,62701,US,39.792226,-89.655987
,9181 Sycamore St,,Bolingbrook,IL,60440,US,41.695270,-88.070697
,4600 Walnut Way,,Springfield,IL,62701,US,39.794903,-89.654505
,1254 Eleventh Ave,,Peoria,IL,61602,US,40.695361,-89.574035
,8228 Truman Rd,,Skokie,IL,60076,US,42.023835,-87.729487
,7906 Cedar Ct,,Chicago,IL,60601,US,41.864433,-87.629045
Logan Square Lofts,7855 Laurel Ave,,Normal,IL,61761,US,40.502382,-88.991629
,8292 Lee Dr,,Chicago,IL,60647,US,41.868751,-87.610073
The Pinnacle,2714 Sixth Pl,,Peoria,IL,61602,US,40.690210,-89.578105
,7458 Holly Ln,Unit 2,Bloomington,IL,61701,US,40.504009,-88.991224
The Heritage,9075 Park Dr,,Midlothian,IL,60445,US,41.638904,-87.732454
,867 Hillside Dr,,Chicago,IL,60630,US,41.873753,-87.614040
,1533 Bridge Ave,Unit 744,Blue Island,IL,60406,US,41.661271,-87.691010
,7933 Tenth St,Apt 773,Champaign,IL,61820,US,40.118265,-88.251098
Westside Commons,1268 Eighth Rd,Apt 235,Elgin,IL,60120,US,42.054454,-88.288842
,217 Academy Ave,Unit 288,Chicago,IL,60630,US,41.863120,-87.621521
,5460 Jackson St,,Oak Park,IL,60301,US,41.896886,-87.764900
,8188 Fifth Pl,,Chicago,IL,60641,US,41.880341,-87.623164
,7760 Cedar Dr,Apt 813,Palatine,IL,60067,US,42.097314,-88.021613
,6793 Field St,,Normal,IL,61761,US,40.510289,-88.996255
,3939 Meadow Ct,,Elgin,IL,60123,US,42.050900,-88.268638
,5117 Cross Dr,,Chicago,IL,60657,US,41.885397,-87.638066
Oak Terrace,996 Glen Dr,# 173,Arlington Heights,IL,60004,US,42.092847,-87.994429
,3794 Willow Ave,,Midlothian,IL,60445,US,41.611885,-87.741691
The Grand,6188 Second Ct,Unit 748,Chicago,IL,60640,US,41.887660,-87.641886
The Heritage,6966 Fern Ave,,Chicago,IL,60647,US,41.890073,-87.630699
,8497 College St,,Orland Park,IL,60462,US,41.636469,-87.845383
Elmwood Manor,8665 Twelfth Ave,,Mount Prospect,IL,60056,US,42.051223,-87.955348
,4618 Magnolia Ter,,Aurora,IL,60505,US,41.762846,-88.310934
,6579 Monroe Ave,,Chicago,IL,60613,US,41.892336,-87.636421
The Grand,1704 Washington Pl,# 925,Waukegan,IL,60087,US,42.358930,-87.825076
,7447 Evergreen Dr,Ste 134,Calumet City,IL,60409,US,41.606413,-87.517675
,383 Valley Blvd,Ste 399,Naperville,IL,60540,US,41.739298,-88.136443
Cedar Ridge,2807 Market Ln,# 790,Champaign,IL,61820,US,40.108437,-88.250663
,8046 Main Dr,,Chicago,IL,60641,US,41.869592,-87.614809
,1854 Harvest Dr,Ste 406,Oak Park,IL,60301,US,41.896461,-87.792613
,5077 South Rd,,Downers Grove,IL,60515,US,41.814445,-88.016373
,3912 Harrison Rd,# 372,Chicago,IL,60640,US,41.860864,-87.648038
Logan Square Lofts,1143 University Ave,,Springfield,IL,62701,US,39.796908,-89.649261
,5838 Lake Ter,,Chicago,IL,60630,US,41.876373,-87.613649
,135 Sherman Rd,,Oak Park,IL,60302,US,41.880732,-87.770120
Lakeshore Drive Apts,8378 Fourth Ter,,Bolingbrook,IL,60440,US,41.681593,-88.071548
,8695 Cross Ave,Unit 616,Bolingbrook,IL,60440,US,41.695998,-88.080779
,5355 Seventh Ln,,Springfield,IL,62701,US,39.797658,-89.658178
,1708 West Ave,,Des Plaines,IL,60016,US,42.053249,-87.889851
,5369 Hillside Cir,Ste 508,Skokie,IL,60076,US,42.037342,-87.749297
,9175 Truman St,Ste 848,Des Plaines,IL,60016,US,42.016028,-87.871556
,5924 Bluff Ter,,Chicago,IL,60641,US,41.863234,-87.614364
,5839 Academy Way,,Aurora,IL,60505,US,41.769558,-88.314234
,9813 West Ct,,Rockford,IL,61101,US,42.267526,-89.104298
Lakeshore Drive Apts,8072 Sycamore Dr,Ste 413,Waukegan,IL,60085,US,42.345788,-87.851621
,4361 Laurel St,,Normal,IL,61761,US,40.525324,-88.993297
,3416 Crest Cir,,Dolton,IL,60419,US,41.623424,-87.616378
,226 Maple Way,,Joliet,IL,60432,US,41.527307,-88.078883
,4191 Prairie Cir,Ste 162,Bloomington,IL,61701,US,40.477873,-89.011222
,496 Tenth Ave,Apt 918,Mount Prospect,IL,60056,US,42.081067,-87.954653
,493 Sherman Cir,,Midlothian,IL,60445,US,41.644937,-87.715065
Lakefront Towers,6620 Valley Way,Ste 166,Chicago,IL,60641,US,41.893549,-87.618812
,5049 Adams Rd,# 311,Palatine,IL,60067,US,42.100356,-88.031108
,9712 Sycamore Rd,,Oak Park,IL,60301,US,41.870117,-87.782255
,4197 Eighth Ln,,Chicago,IL,60625,US,41.883448,-87.622284
,6206 Fourth Ln,Unit 647,Downers Grove,IL,60515,US,41.806472,-88.023185
,5305 Lee St,,Tinley Park,IL,60477,US,41.577568,-87.782615
,2695 Garden Ct,,Chicago,IL,60622,US,41.894247,-87.613030
Lakeshore Drive Apts,1371 Hillside Blvd,Apt 162,Chicago,IL,60630,US,41.870592,-87.646365
,2087 River St,Unit 32,Chicago,IL,60657,US,41.877302,-87.615446
,6965 Harrison Ct,# 717,Aurora,IL,60505,US,41.775880,-88.315352
The Pinnacle,1511 Division Rd,,Elgin,IL,60123,US,42.039350,-88.289169
,155 Sherman Blvd,# 100,Bloomington,IL,61701,US,40.495217,-88.981314
,3790 Meadow Ave,,Wheaton,IL,60187,US,41.877027,-88.097298
,7249 Mill Ave,,Bolingbrook,IL,60440,US,41.690075,-88.070282
,4545 Walnut Ave,,Des Plaines,IL,60016,US,42.041347,-87.888287
,7804 Walnut Cir,Ste 604,Elgin,IL,60123,US,42.029412,-88.295449
,2548 Ridge Ave,Apt 89,Berwyn,IL,60402,US,41.864950,-87.793809
,467 Grant Rd,,Elgin,IL,60123,US,42.029131,-88.286609
,7412 Central Ter,Ste 175,Arlington Heights,IL,60004,US,42.082385,-87.978582
,2790 Ivy Ave,Apt 918,Tinley Park,IL,60477,US,41.591536,-87.791432
,9054 Wilson Ave,,Bolingbrook,IL,60440,US,41.696939,-88.076621
,2211 Ninth Ln,Unit 816,Berwyn,IL,60402,US,41.855596,-87.797962
,707 First St,Unit 300,Blue Island,IL,60406,US,41.657843,-87.694195
,6293 Commerce Dr,,Alsip,IL,60803,US,41.656248,-87.726704
,1863 King Ct,Unit 860,Des Plaines,IL,60016,US,42.053184,-87.896763
,6588 Ferry Ave,,Downers Grove,IL,60515,US,41.815668,-87.995578
Lincoln Square,7176 Kennedy Dr,,Bolingbrook,IL,60440,US,41.700836,-88.072168
,5513 King Dr,Unit 806,Peoria,IL,61602,US,40.697829,-89.592918
,4253 Pine St,,Blue Island,IL,60406,US,41.667850,-87.678457
,780 Park Ct,,Midlothian,IL,60445,US,41.615572,-87.720387
Logan Square Lofts,8460 Willow Dr,Ste 682,Rockford,IL,61101,US,42.287615,-89.113706
,8224 Fourth Ave,Apt 318,Palatine,IL,60067,US,42.116117,-88.049479
Lakefront Towers,5770 Central Rd,# 234,Des Plaines,IL,60016,US,42.042525,-87.898328
,776 Lake St,,Chicago,IL,60641,US,41.885839,-87.612898
Bucktown Row,9593 Market Cir,,Chicago,IL,60613,US,41.867970,-87.615932
,4738 College Ave,,Orland Park,IL,60462,US,41.620030,-87.837370
Wabash Commons,4122 College Cir,Ste 262,Dolton,IL,60419,US,41.625780,-87.614014
,3401 Sunset St,Apt 754,Urbana,IL,61801,US,40.119582,-88.208880
Wabash Commons,8891 Sage Pl,,Oak Park,IL,60302,US,41.883039,-87.798651
Elmwood Manor,2027 Willow Rd,# 994,Normal,IL,61761,US,40.532999,-89.005494
,2911 Chestnut Ct,Apt 862,Arlington Heights,IL,60004,US,42.081617,-87.970976
,5379 Lake Rd,,Chicago,IL,60641,US,41.894580,-87.609951
,2841 Sycamore Dr,,Normal,IL,61761,US,40.506905,-88.975807
,7653 Willow Rd,# 733,Alsip,IL,60803,US,41.669290,-87.727402
,9779 Hickory Dr,,Tinley Park,IL,60477,US,41.588625,-87.767206
,5188 Mill Ln,,Evanston,IL,60201,US,42.041847,-87.686058
,5612 Washington St,Ste 876,Chicago,IL,60657,US,41.862499,-87.631742
,9711 Ferry Dr,,Chicago,IL,60613,US,41.868339,-87.616334
,2981 Field St,Apt 97,Cicero,IL,60804,US,41.828232,-87.742536
Sunrise Village,9090 Magnolia Ave,Apt 117,Chicago,IL,60625,US,41.887917,-87.646063
,2381 Lake Blvd,Unit 573,Des Plaines,IL,60016,US,42.039109,-87.869957
,3129 High Pl,,Arlington Heights,IL,60004,US,42.087673,-87.968046
,3428 South St,,Alsip,IL,60803,US,41.665557,-87.730850
,8026 Valley Ct,Ste 458,Cicero,IL,60804,US,41.847422,-87.764628
,2241 Pine Ave,,Alsip,IL,60803,US,41.684276,-87.718669
,1073 Ivy Ave,Unit 680,Springfield,IL,62701,US,39.774844,-89.635552
,6863 Cross Ln,Ste 626,Chicago,IL,60625,US,41.888268,-87.620290
,4682 Fern Ct,Unit 445,Chicago,IL,60613,US,41.878167,-87.630199
,1111 Maple Ter,,Chicago,IL,60657,US,41.872603,-87.618474
The Pinnacle,7001 Cedar Ave,# 875,Dolton,IL,60419,US,41.627255,-87.612452
,1200 Eleventh Cir,,Elgin,IL,60123,US,42.055027,-88.296368
Northgate Apartments,4502 Central Rd,,Dolton,IL,60419,US,41.627307,-87.594390
Sunrise Village,7205 Ivy Way,# 210,Lansing,IL,60438,US,41.565754,-87.536703
,3398 Market Rd,Ste 435,Bolingbrook,IL,60440,US,41.710088,-88.083569
,1983 Park Blvd,Apt 834,Normal,IL,61761,US,40.507551,-89.004675
,2271 Central St,,Chicago,IL,60622,US,41.876432,-87.627069
,6679 Pine Rd,Ste 991,Waukegan,IL,60087,US,42.363659,-87.835282
,1273 Jackson St,,Mount Prospect,IL,60056,US,42.065931,-87.936185
,7219 Division Rd,,Oak Park,IL,60301,US,41.882960,-87.788788
,8481 Sunset St,,Chicago,IL,60641,US,41.887637,-87.636338
,3396 Harvest Ave,# 573,Evanston,IL,60201,US,42.054419,-87.689893
,9068 University Ct,,Berwyn,IL,60402,US,41.844307,-87.789872
,2015 Kennedy Cir,Apt 877,Chicago,IL,60625,US,41.875032,-87.614183
Lakefront Towers,7652 Sunrise Blvd,,Naperville,IL,60540,US,41.767806,-88.148324
,5898 Brook Ln,,Skokie,IL,60076,US,42.034602,-87.752233
,421 Orchard Ln,Apt 177,Tinley Park,IL,60477,US,41.559904,-87.776529
,7742 Division Rd,,Palatine,IL,60067,US,42.100358,-88.042541
,3395 Lee Ter,,Chicago,IL,60640,US,41.865687,-87.637156
,9648 University Ave,Ste 541,Oak Park,IL,60302,US,41.867357,-87.788070
,5582 Holly Ct,Ste 389,Bloomington,IL,61701,US,40.477401,-89.006116
,8885 Fern Ct,,Downers Grove,IL,60515,US,41.823490,-88.010960
,1959 Grant St,,Mount Prospect,IL,60056,US,42.058671,-87.929056
,3562 College Rd,Unit 109,Des Plaines,IL,60016,US,42.050507,-87.879408
,1835 Prairie Blvd,Unit 813,Alsip,IL,60803,US,41.679697,-87.733985
,3160 Creek Ln,,Cicero,IL,60804,US,41.859300,-87.745664
Wabash Commons,3929 Jefferson Way,,Decatur,IL,62523,US,39.859071,-88.949320
,5096 Central Ave,,Elgin,IL,60120,US,42.028558,-88.280642
,7721 Sunset Ct,Ste 577,Oak Park,IL,60302,US,41.877836,-87.783822
,3779 Eleventh Ln,# 376,Chicago,IL,60614,US,41.873529,-87.629409
Lakefront Towers,210 Lake St,Apt 156,Chicago,IL,60601,US,41.864699,-87.634802
,5349 Prairie Ave,Ste 929,Waukegan,IL,60087,US,42.373400,-87.852020
Wabash Commons,2391 Commerce Way,,Bloomington,IL,61701,US,40.482442,-88.975871
,7966 West Ct,,Arlington Heights,IL,60004,US,42.078541,-87.975397
Sunrise Village,8758 Evergreen Blvd,Ste 245,Chicago,IL,60625,US,41.882743,-87.636700
,3970 Sycamore St,,Chicago,IL,60647,US,41.866712,-87.627400
,1928 Brook Pl,# 834,Dolton,IL,60419,US,41.653140,-87.590379
,9904 Eleventh Ln,# 282,Downers Grove,IL,60515,US,41.826580,-88.003084
,5128 Harvest Ave,,Naperville,IL,60540,US,41.742049,-88.150739
,3683 Ferry Pl,,Des Plaines,IL,60016,US,42.020061,-87.891510
,8546 Seventh Rd,,Chicago,IL,60651,US,41.888788,-87.612421
,707 Eleventh St,,Elgin,IL,60123,US,42.042015,-88.282187
,1864 Liberty St,Apt 788,Skokie,IL,60076,US,42.050196,-87.746257
,1856 Academy Rd,# 105,Springfield,IL,62701,US,39.793910,-89.668611
,3578 South Ave,,Urbana,IL,61801,US,40.124105,-88.215943
,8628 Wilson Ct,,Oak Park,IL,60301,US,41.888201,-87.785096
,1041 Lincoln Cir,,Elgin,IL,60123,US,42.044172,-88.286987
,3647 West Rd,# 753,Blue Island,IL,60406,US,41.640719,-87.692250
,7852 Park Pl,Apt 254,Decatur,IL,62523,US,39.823298,-88.959788
,1426 Meadow Pl,Unit 852,Chicago,IL,60640,US,41.896928,-87.628483
Lakeshore Drive Apts,8771 Harvest Cir,Ste 652,Urbana,IL,61801,US,40.129960,-88.205044
,5898 Forest Ln,Ste 512,Wheaton,IL,60187,US,41.852447,-88.095624
Westside Commons,1683 Sage Ter,,Chicago,IL,60641,US,41.859789,-87.616038
,8242 Broad St,Unit 759,Elgin,IL,60123,US,42.043376,-88.295911
,2483 Creek Ct,,Calumet City,IL,60409,US,41.630506,-87.512407
,2338 Third Pl,,Blue Island,IL,60406,US,41.661956,-87.678639
,7204 North Pl,Ste 570,Springfield,IL,62701,US,39.779547,-89.658742
,2924 Ferry Rd,Apt 563,Naperville,IL,60540,US,41.744267,-88.135242
,2019 Elm Dr,,Tinley Park,IL,60477,US,41.564606,-87.797406
